@RELATION snake_game_train

@ATTRIBUTE snake_length NUMERIC
@ATTRIBUTE snake_x {WEST, EAST}
@ATTRIBUTE snake_y {NORTH, SOUTH}
@ATTRIBUTE food_x {WEST, EAST}
@ATTRIBUTE food_y {NORTH, SOUTH}
@ATTRIBUTE rel_pos {0, 1, 2, 3}
@ATTRIBUTE score NUMERIC
@ATTRIBUTE direction {NORTH, SOUTH, WEST, EAST}

@DATA
48,EAST,SOUTH,EAST,NORTH,1,2681,NORTH
18,WEST,NORTH,WEST,NORTH,0,1001,EAST
17,WEST,SOUTH,WEST,NORTH,0,915,WEST
11,EAST,SOUTH,EAST,SOUTH,3,561,SOUTH
31,WEST,SOUTH,WEST,SOUTH,1,1814,NORTH
18,WEST,SOUTH,WEST,NORTH,1,1003,NORTH
9,EAST,SOUTH,EAST,SOUTH,2,412,WEST
21,WEST,NORTH,EAST,SOUTH,3,1198,SOUTH
19,EAST,NORTH,EAST,SOUTH,2,1057,SOUTH
25,EAST,SOUTH,WEST,SOUTH,2,1425,SOUTH
6,WEST,SOUTH,WEST,SOUTH,1,163,NORTH
40,WEST,SOUTH,EAST,SOUTH,1,2300,EAST
7,EAST,SOUTH,EAST,SOUTH,3,281,EAST
19,WEST,SOUTH,WEST,SOUTH,2,1055,EAST
9,EAST,SOUTH,EAST,NORTH,1,454,NORTH
49,EAST,SOUTH,EAST,SOUTH,2,2710,WEST
6,WEST,SOUTH,WEST,SOUTH,1,200,EAST
22,EAST,SOUTH,WEST,SOUTH,2,1228,SOUTH
10,WEST,NORTH,EAST,NORTH,1,434,EAST
14,WEST,NORTH,EAST,NORTH,1,691,EAST
3,WEST,NORTH,WEST,SOUTH,2,-3,EAST
34,EAST,NORTH,WEST,NORTH,0,2024,WEST
54,EAST,NORTH,EAST,NORTH,1,3005,NORTH
28,EAST,SOUTH,WEST,SOUTH,2,1606,SOUTH
4,WEST,NORTH,WEST,NORTH,2,73,SOUTH
22,EAST,SOUTH,WEST,SOUTH,2,1242,WEST
4,EAST,NORTH,EAST,NORTH,2,76,EAST
12,EAST,SOUTH,WEST,NORTH,0,557,WEST
29,EAST,NORTH,WEST,NORTH,0,1622,WEST
3,EAST,NORTH,EAST,SOUTH,2,-56,SOUTH
21,WEST,SOUTH,WEST,SOUTH,2,1211,WEST
22,EAST,SOUTH,WEST,SOUTH,2,1244,SOUTH
14,EAST,NORTH,EAST,NORTH,3,654,EAST
9,WEST,NORTH,WEST,NORTH,0,400,NORTH
6,WEST,SOUTH,WEST,SOUTH,3,224,SOUTH
24,EAST,NORTH,WEST,NORTH,0,1422,WEST
15,EAST,NORTH,EAST,NORTH,1,759,EAST
31,WEST,SOUTH,WEST,SOUTH,2,1718,WEST
3,EAST,NORTH,EAST,SOUTH,3,-24,EAST
33,EAST,SOUTH,EAST,NORTH,0,1958,NORTH
33,WEST,NORTH,WEST,SOUTH,2,2007,SOUTH
37,EAST,NORTH,WEST,NORTH,0,2224,WEST
38,EAST,NORTH,WEST,SOUTH,2,2160,SOUTH
5,EAST,NORTH,WEST,SOUTH,2,112,SOUTH
28,EAST,SOUTH,EAST,NORTH,1,1576,WEST
